NCTNumber,Title,Acronym,Status,Conditions,Interventions,OutcomeMeasures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,FundedBys,StudyType,StudyDesigns,OtherIDs,StartDate,PrimaryCompletionDate,CompletionDate,FirstPosted,ResultsFirstPosted,LastUpdatePosted,Locations,Rank,StudyDocuments,StudyResults,URL
NCT03691909,A Clinical Trial to Determine the Safety and Efficacy of Hope Biosciences Autologous Mesenchymal Stem Cell Therapy (HB-adMSCs) for the Treatment of Rheumatoid Arthritis,HB-adMSCs,"Active, not recruiting",Rheumatoid Arthritis,Drug: HB-adMSC,Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability]|The effect of single inject of HB-adMSCs on TNF-a in patients with acute RA|The effect of single inject of HB-adMSCs on IL-6 in patients with acute RA|The effect of single inject of HB-adMSCs on CRP in patients with acute RA|The effect of single inject of HB-adMSCs on ESR in patients with acute RA|The effect of single inject of HB-adMSCs on joint count in patients with acute RA.,Hope Biosciences,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 1|Phase 2,15.0,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Rheumatoid Arthritis,"September 25, 2018","February 1, 2020","March 1, 2020","October 2, 2018",,"August 26, 2019","Accurate Clinical Research, Pasadena, Texas, United States",30,,No Results Available,https://ClinicalTrials.gov/show/NCT03691909
NCT02408432,Bone Marrow Derived Mesenchymal Stem Cells in Improving Heart Function in Patients With Heart Failure Caused by Anthracyclines,,Recruiting,Cardiomyopathy|Heart Failure,Biological: Mesenchymal Stem Cell Transplantation|Drug: Standard of Care for Heart Failure,Adverse Events of Allogeneic Human Mesenchymal Stem Cells (hMSCs) Determined by CTCAE version 4|Change in Left Ventricular Ejection Fraction (LVEF),M.D. Anderson Cancer Center|National Cancer Institute (NCI),All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 1,45.0,Other|NIH,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2014-0519|NCI-2015-00969|P30CA016672,"January 11, 2016","January 31, 2023","January 31, 2023","April 3, 2015",,"August 22, 2019","M D Anderson Cancer Center, Houston, Texas, United States",31,,No Results Available,https://ClinicalTrials.gov/show/NCT02408432
NCT03171194,Pilot Trial of Mesenchymal Stem Cells for Systemic Lupus Erythematosus,,Completed,System; Lupus Erythematosus,Drug: Low Dose Mesenchymal Stem Cells (MSCs),Frequency of Grade 3 or higher adverse events|Frequency of All Adverse Events|Change in Disease Activity|Change in Patient Reported Outcomes - Life|Change in Patient Reported Outcomes - Fatigue|Change in Patient Reported Outcomes - Pain|Change in Patient Reported Outcomes - Depression|Change in Disease Biomarkers - Cellular|Change in Disease Biomarkers - Serum,Medical University of South Carolina,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 1,6.0,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,00061632,"April 27, 2017","April 30, 2018","October 25, 2018","May 31, 2017",,"May 2, 2019","Emory University, Atlanta, Georgia, United States|Medical University of South Carolina, Charleston, South Carolina, United States",32,,No Results Available,https://ClinicalTrials.gov/show/NCT03171194
NCT01668576,Properties of Mesenchymal Stem Cells in Lung Transplant,,Terminated,Lung Transplantation,,Intrinsic variability of MSCs measured by time to third passage of confluent MSC|2-3 IDO production measured as ug/mL of passage 3 MSCs|Percent specific inhibition of CD4 and CD8 T cell proliferation toward donor target cells in one way mixed-lymphocyte reactions,Emory University,All,"18 Years to 70 Years   (Adult, Older Adult)",,4.0,Other,Observational,Observational Model: Cohort|Time Perspective: Cross-Sectional,IRB00053075,August 2012,September 2014,September 2014,"August 20, 2012",,"January 14, 2016","Emory University, Atlanta, Georgia, United States",33,,No Results Available,https://ClinicalTrials.gov/show/NCT01668576
NCT02833792,Allogeneic Human Mesenchymal Stem Cells for Alzheimer's Disease,,Recruiting,Alzheimer Dementia,Drug: Human Mesenchymal Stem Cells and Lactated Riunger's Solution|Other: Placebo,Safety of aMBMC administration|Efficacy of aMBMC administration,"Stemedica Cell Technologies, Inc.|Stemedica International SA",All,"55 Years to 80 Years   (Adult, Older Adult)",Phase 2,40.0,Industry|Other,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,STEM105-M-AD,June 2016,December 2019,June 2020,"July 14, 2016",,"April 9, 2019","John Wayne Cancer Institute @ Providence St. John's Health Center, Santa Monica, California, United States",34,,No Results Available,https://ClinicalTrials.gov/show/NCT02833792
NCT02611167,Allogeneic Bone Marrow-Derived Mesenchymal Stem Cell Therapy for Idiopathic Parkinson's Disease,,"Active, not recruiting",Parkinson's Disease,Biological: Allogeneic bone marrow-derived MSCs,Safety of allogeneic MSC therapy in patients with iPD as indicated by the presence of adverse events that are confirmed to be related to the therapy|Change in motor function as assessed by the Unified Parkinson's Disease Rating Scale (UPDRS) Total score|Change in motor function as assessed by the UPDRS Motor score|Change in motor function as assessed by Timed-Up-and-Go (TUG)|Change in disability as measured by the Modified Hoehn and Yahr Scale|functional connectivity between substantia nigra and dorsal striatum as assessed by resting state functional magnetic resonance imaging (fMRI)|perfusion as assessed by arterial spin-labeled (ASL) perfusion MRI|structural connectivity as assessed by diffusion-weighted MRI for diffusion tensor image (DTI) analysis|volume of subcortical structures as assessed by T1- and T2- weighted MRI with Fluid Attenuated Inversion Recovery|cortical thickness as assessed by T1- and T2- weighted MRI with Fluid Attenuated Inversion Recovery|Change in gross brain structure as assessed by T1- and T2- weighted MRI with Fluid Attenuated Inversion Recovery|Change in brain activity as assessed by task state fMRI|Change in quality of life as assessed by the modified Schwab and England activities of daily living (ADL) score|Change in quality of life as assessed by the Parkinson's Disease Questionnaire (PDQ-39)|Change in cognitive function as assessed by the Montreal Cognitive Assessment (MoCA)|Change in immunologic response as assessed by plasma concentrations of cytokines|Change in suicidal ideation or behaviors as assessed by and Columbia Suicide Severity Rating Scale (CSSRS),"The University of Texas Health Science Center, Houston",All,"45 Years to 70 Years   (Adult, Older Adult)",Phase 1|Phase 2,20.0,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,HSC-MS-Schiess MSC PD,"November 1, 2017",November 2019,November 2019,"November 20, 2015",,"November 7, 2018","The University of Texas Health Science Center at Houston, Houston, Texas, United States",35,,No Results Available,https://ClinicalTrials.gov/show/NCT02611167
NCT03692221,Mesenchymal Stem Cells for Lumbar Degenerative Disc Disease,,Not yet recruiting,Disc Degeneration,Drug: MSC Treatment group 1 (low dose)|Drug: MSC Treatment group 2 (high dose)|Other: Healthy Control (no treatment),Rate of treatment related adverse events|Changes in Pain -Visual Analogue Scale (VAS) for back pain|Changes in Pain - Oswestry Disability Index (ODI) scores over time|changes in Quality of life - Short form Health Survey 36 (SF-36)|changes in MRI monitoring of transplant site,Salim M Hayek|University Hospitals Cleveland Medical Center,All,"18 Years to 80 Years   (Adult, Older Adult)",Early Phase 1,24.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,014924/0012/A002,June 2019,"September 30, 2021","September 30, 2022","October 2, 2018",,"April 4, 2019","University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States",36,,No Results Available,https://ClinicalTrials.gov/show/NCT03692221
NCT02065245,AllogeneiC Human Mesenchymal Stem Cells (hMSC) in Patients With Aging FRAilTy Via IntravenoUS Delivery.,CRATUS,"Active, not recruiting",Aging Frailty,Biological: Allogeneic Human Mesenchymal Stem Cells (allo-hMSCs)|Biological: Placebo,Incidence of any treatment emergent-serious adverse events|Difference in rate of decline of Frailty|Difference in subject quality of life assessment(s):|Death from any cause|Exercise change in ejection fraction.|Inflammatory Markers.,"Joshua M Hare|The Emmes Company, LLC|University of Miami",All,"60 Years to 95 Years   (Adult, Older Adult)",Phase 1|Phase 2,65.0,Other|Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",20130646,"March 3, 2014",December 2020,December 2020,"February 17, 2014",,"June 24, 2019","ISCI/University of Miami Miller School of Medicine, Miami, Florida, United States",37,,No Results Available,https://ClinicalTrials.gov/show/NCT02065245
NCT01162915,Transfer of Bone Marrow Derived Stem Cells for the Treatment of Spinal Cord Injury,,Suspended,Spinal Cord Injury,Biological: Autologous bone marrow-derived mesenchymal stem cells.,Safety,TCA Cellular Therapy,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 1,10.0,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2009-SCI-I,July 2010,May 2014,May 2014,"July 15, 2010",,"May 9, 2014","TCA Cellular Therapy, LLC, Covington, Louisiana, United States",38,,No Results Available,https://ClinicalTrials.gov/show/NCT01162915
NCT04061746,Cellular Therapy for Type 1 Diabetes Using Mesenchymal Stem Cells,,Recruiting,"Diabetes Mellitus, Type 1",Biological: Mesenchymal Stem Cells (MSCs)|Other: Placebo Infusion (Plasmalyte A with 0.5% human serum albumin),12 month Change in C-peptide area under the curve after a 2-hour MMTT|6 Month Change in C-Peptide area under the curve after a 2-hour MMTT|6 Month peak C-peptide after a 2-hour MMTT|1 year peak C-peptide after a 2-hour MMTT|Change in 24-hour insulin dose per kilogram between baseline and 1 year measurements,Medical University of South Carolina|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),All,"12 Years to 30 Years   (Child, Adult)",Phase 1,50.0,Other|NIH,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",00085542|R01DK118529-01A1,"November 1, 2019","July 1, 2023","July 1, 2023","August 20, 2019",,"October 11, 2019","Medical University of South Carolina, Charleston, South Carolina, United States",39,,No Results Available,https://ClinicalTrials.gov/show/NCT04061746
NCT02685098,A Clinical and Histological Analysis of Mesenchymal Stem Cells in Amputation,CHAMP,Recruiting,Ischemia|Peripheral Arterial Disease|Peripheral Vascular Disease|Vascular Disease|Arterial Occlusive Disease|Arteriosclerosis|Atherosclerosis|Cardiovascular Disease|Pathologic Processes|Orthopedic Procedures|Amputation,Biological: Allogeneic bone marrow derived mesenchymal stem cells,"Number of participants with treatment-related adverse events occurring during the enrollment period as assessed by the Investigator using the MeDRA scale.|Gene and protein arrays, IHC staining, and multiparametric flow cytometry will measure the time period of retention of allogeneic MSCs in harvested human skeletal muscle tissue post-MSC implantation.|Recruitment of proangiogenic hematopoietic cells into sites of ischemia will be measured and reported as assessed by the role of MSCs injected in human skeletal muscle at the time of amputation.",Indiana University,All,"40 Years to 90 Years   (Adult, Older Adult)",Phase 1,16.0,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,1505714405,January 2017,September 2021,September 2025,"February 18, 2016",,"February 11, 2019","Indiana University, Indianapolis, Indiana, United States",40,,No Results Available,https://ClinicalTrials.gov/show/NCT02685098
NCT01751282,Study of the Effectiveness of Autologous Bone Marrow-Derived Mesenchymal Stem Cells in Fibrin to Treat Chronic Wounds,,Terminated,Non Healing Wounds,Genetic: Stem Cell,Wound closure|Overall rate of wound healing reduction,Roger Williams Medical Center,All,"18 Years and older   (Adult, Older Adult)",Phase 1,5.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",RO1AR06034201A1,June 2010,June 2015,June 2015,"December 17, 2012",,"October 4, 2016","Roger Williams Medical Center, Providence, Rhode Island, United States",41,,No Results Available,https://ClinicalTrials.gov/show/NCT01751282
NCT04064983,Individual Patient Expanded Access IND of Hope Biosciences Autologous Adipose-derived Mesenchymal Stem Cells for Parkinson's Disease,,No longer available,Parkinson Disease,Drug: HB-adMSC,,Hope Biosciences,All,"18 Years and older   (Adult, Older Adult)",,,Industry,Expanded Access:Individual Patients,,Parkinson's disease,,,,"August 22, 2019",,"September 25, 2019","Clinical Trial Network, Houston, Texas, United States",42,,No Results Available,https://ClinicalTrials.gov/show/NCT04064983
NCT04064957,Individual Patient Expanded Access IND of Hope Biosciences Autologous Adipose-derived Mesenchymal Stem Cells for Chronic Spinal Cord Injury,,No longer available,Spinal Cord Injuries,Drug: HB-adMSCs,,Hope Biosciences,All,"18 Years and older   (Adult, Older Adult)",,,Industry,Expanded Access:Individual Patients,,Chronic Spinal Cord Injury,,,,"August 22, 2019",,"September 25, 2019","Clinical Trial Network, Houston, Texas, United States",43,,No Results Available,https://ClinicalTrials.gov/show/NCT04064957
NCT00587990,Prospective Randomized Study of Mesenchymal Stem Cell Therapy in Patients Undergoing Cardiac Surgery (PROMETHEUS),PROMETHEUS,Terminated,"Stem Cell Transplantation|Ventricular Dysfunction, Left",Biological: Lower dose mesenchymal stem cell (MSC) injection|Genetic: Placebo|Biological: Higher dose MSC injection,Number of Patients With Serious Adverse Events|Change in Infarct Scar Size (ISS) Over 18 Month Period|Left Ventricular Function (LVF) in Region of MSC Injection|Regional Left Ventricular Wall Thickening|Left Ventricular End Diastolic Wall Thickness|Change in Left Ventricular End Diastolic and Systolic Volume|Change in Left Ventricular Ejection Fraction|Change in Peak Volume Oxygen|Change in Six Minute Walk Test|Change in NYHA Functional Class|Minnesota Living With Heart Failure Questionnaire Scores|Incidence of Major Adverse Cardiac Events (MACE)|Number of Participants With Abnormal 48-Hour Ambulatory ECG Recordings|Change in Pulmonary Function|Serial Troponin Values (ng/mL)|Creatinine Kinase - Muscle/Brain (MB) (ng/mL)|Number of Clinically Significant Laboratory Values|Rate of Treatment Emergent Adverse Events|Number of Abnormal Echocardiogram Readings 2 Days Post CABG.,"Joshua M Hare|National Heart, Lung, and Blood Institute (NHLBI)|Johns Hopkins University Specialized Center for Cell Based Therapy|The Emmes Company, LLC|University of Miami",All,"21 Years to 80 Years   (Adult, Older Adult)",Phase 1|Phase 2,9.0,Other|NIH|Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",20070598|U54HL081028,November 2007,June 2011,June 2011,"January 8, 2008","April 2, 2015","September 10, 2019","University of Miami Miller School of Medicine, Miami, Florida, United States|Johns Hopkins University School of Medicine, Baltimore, Maryland, United States",44,,Has Results,https://ClinicalTrials.gov/show/NCT00587990
